,problem_id,problem_code,assistment_id,problem_set_id,problem_set_type,problem_set_name,curriculum,grade_or_subject,unit,link,skill_codes,skill_names,problem_type,problem_body,attempts,correct_count,percent_correct,first_cwa,first_cwa_count,second_cwa,second_cwa_count,third_cwa,third_cwa_count,answer
109986,1753301.0,PRABMRUV,1235430.0,PSABC75W,Cool Down,Alg2.2 Lesson 15 The Remainder Theorem (HSA-APR.B.2),Kendall Hunt Illustrative Mathematics,Algebra 2,Unit 2 - Polynomials and Rational Functions ,https://app.assistments.org/find/lv/lesson/358464/1010836,HSA.APR.B.2,Know & Apply the Remainder Theorem of Polynomials,open_response,"<p>1. Let p be a polynomial function defined by&nbsp;<img class=""Wirisformula"" style=""max-width: none; vertical-align: -3px;"" src=""/pluginwiris_engine/app/showimage?formula=aa64d2177069a8915fb1a62e19a879b0&amp;cw=189&amp;ch=19&amp;cb=16"" width=""189"" height=""19"" align=""middle"" data-mathml=""&laquo;math xmlns=&uml;http://www.w3.org/1998/Math/MathML&uml;&raquo;&laquo;mi&raquo;p&laquo;/mi&raquo;&laquo;mo&raquo;(&laquo;/mo&raquo;&laquo;mi&raquo;x&laquo;/mi&raquo;&laquo;mo&raquo;)&laquo;/mo&raquo;&laquo;mo&raquo;=&laquo;/mo&raquo;&laquo;mn&raquo;2&laquo;/mn&raquo;&laquo;msup&raquo;&laquo;mi&raquo;x&laquo;/mi&raquo;&laquo;mn&raquo;3&laquo;/mn&raquo;&laquo;/msup&raquo;&laquo;mo&raquo;+&laquo;/mo&raquo;&laquo;mn&raquo;5&laquo;/mn&raquo;&laquo;msup&raquo;&laquo;mi&raquo;x&laquo;/mi&raquo;&laquo;mn&raquo;2&laquo;/mn&raquo;&laquo;/msup&raquo;&laquo;mo&raquo;-&laquo;/mo&raquo;&laquo;mn&raquo;6&laquo;/mn&raquo;&laquo;mi&raquo;x&laquo;/mi&raquo;&laquo;mo&raquo;-&laquo;/mo&raquo;&laquo;mn&raquo;9&laquo;/mn&raquo;&laquo;/math&raquo;"" />. Use the fact that p(-4)=-33, p(-3)=0, p(-2)=7, and p(-1)=0 to rewrite the expression for p(x) as the product of linear factors.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><span style=""font-size: 8pt;""><em>&copy; 2019 Illustrative Mathematics. All Rights Reserved.</em></span></p>",351.0,45.0,12.8,,,,,,,
328956,650524.0,PRAQZFQ,408593.0,PSAFXTU,,Pythagorean Theorem for the distance between two points in a coordinate system (8.G.B.8) - Set B,Problem Solving Sets,Grade 8,Geometry (G),https://app.assistments.org/find/lv/lesson/329602/168688,8.G.B.8,Apply the Pythagorean Theorem to Find the Distance Between Points on the Coordinate Plane,choose_1,"<p>Which two points have a distance between them of&nbsp;&radic;32 units?</p>
<p><img src=""/images/assistments/17588.jpg"" alt="""" /></p>",165.0,132.0,80.0,C and D,11.0,A and B,9.0,B and C,7.0,D and E
259038,1511631.0,PRABEXBH,1061943.0,PSA6ZQK,,2.A Ready To Go On?,Textbook Curricula,Holt McDougal Littell,HS: Holt Algebra I (2012),https://app.assistments.org/find/lv/lesson/328918/825911,,,numeric,"<p>Page 119 #21</p>
<p>&nbsp;</p>
<p>b)&nbsp;Complete the inequality</p>
<p><br />x&nbsp;&gt; _______________</p>",,,,,,,,,,-2
245142,1234474.0,PRA7NAE,844723.0,PSAV9XR,,1.1 Estimating with Whole Numbers,Textbook Curricula,Holt McDougal Littell,Grade 6 Mathematics (2012),https://app.assistments.org/find/lv/lesson/328929/565702,,,old_algebra,<p>Page 8 #21</p>,52.0,37.0,71.2,"67,000",2.0,67000,2.0,"30,000",1.0,70000
89059,1614896.0,PRABHDXP,1135573.0,PSA9KSN,,1-7 The Distributive Property: Key Concept/Practice & Problem Solving,Textbook Curricula,Pearson (Prentice-Hall),HS: Algebra I,https://app.assistments.org/find/lv/lesson/329645/902855,,,open_response,<p>Explain.</p>,27.0,0.0,0.0,,,,,,,
150251,534577.0,PRAM7EB,324943.0,PSABZNZ,,2-5 Solving Equations Involving Absolute Value,Textbook Curricula,Glencoe McGraw-Hill,"HS: Algebra I (2012,2014)",https://app.assistments.org/find/lv/lesson/328842/51296,7.EE.B.4a-1,Solve 2-Step Equations,old_algebra,<p>Solve.</p>,34.0,31.0,91.2,-15.2,1.0,,,,,-13
144405,1416589.0,PRABCN2F,994392.0,PSA4BXM,,9-1 Functions,Textbook Curricula,Glencoe McGraw-Hill,Grade 7: Accelerated (2014),https://app.assistments.org/find/lv/lesson/328884/746366,,,open_response,<p>Explain why the graph is or is not a function.</p>,,,,,,,,,,
173007,2045778.0,PRABTHXP,1407536.0,PSABUQWN,Diagnostic,Eureka Acceleration Grade 4 Module 6 Topic A-C,Eureka Math Diagnostic Tools,Grade 4,Module 6,https://app.assistments.org/find/lv/lesson/365712/1443061,3.NF.A.3d,Comprare Fractions with Like Numerators or Denominators,open_response,"<p><span style=""font-weight: 400;"">Shade the models to compare the fractions. </span></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><span style=""font-weight: 400;""><img src=""/images/assistments/492555.jpg"" width=""540"" height=""118"" /></span></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><span style=""font-weight: 400;"">Draw your model on paper, take a picture, and upload it using the image upload icon&nbsp;<img src=""/images/assistments/100953.jpg"" alt="""" width=""34"" height=""29"" /></span></p>
<p>&nbsp;</p>
<p><span style=""font-weight: 400;"">If you do not have the ability to upload an image of your work, type ""Model&nbsp;is on paper.""</span></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p style=""text-align: right;""><span style=""font-weight: 400; font-size: 8pt;""><a class=""waffle-rich-text-link"" href=""https://www.engageny.org/"">Modified from EngageNY &copy;GreatMinds</a></span></p>",83.0,4.0,4.8,,,,,,,
311991,1362355.0,PRABA7FS,950599.0,PSA2K9U,Problem Set,"Algebra I, M1, Lesson 25 (N.Q.A.1, A.CED.A.1, A.REI.B.3)",EngageNY/Eureka Math (© by Great Minds®) *,Algebra I,Module 1 - Relationships Between Quantities and Reasoning with Equations and Their Graphs,https://app.assistments.org/find/lv/lesson/357669/694789,HSA.REI.D.12,Graph Solutions of Linear Inequalities in Two Variables,open_response,"<p>Make a graph of the balance in the account after <em>m</em>&nbsp;months, and indicate on the plot the solutions to your inequality in part <strong>A)</strong>.</p>
<p>&nbsp;</p>
<p>Draw your graph&nbsp;on paper, take a picture, and upload it using the image upload icon&nbsp;<img src=""/images/assistments/100953.jpg"" alt="""" width=""34"" height=""29"" />.<br />&nbsp;<br />If you do not have the ability to upload an image of your work type ""Graph is on paper.""</p>",28.0,0.0,0.0,,,,,,,
306435,1667181.0,PRABJQDU,1174452.0,PSABASF5,,7-5 Rational Exponents and Radicals,Textbook Curricula,Pearson (Prentice-Hall),HS: Algebra I,https://app.assistments.org/find/lv/lesson/329639/938117,,,choose_1,<p>Page 452 #55</p>,,,,,,,,,,A
